PropertyId,PropertyDesc,PropertyDeutsch,PropertyEnglisch,PropertyDeutschCH,PropertyFranzoesisch,PropertyNiederlaendisch,PropertyItalienisch,PropertySpanisch,PropertyValueId,PropertyValueDesc,PropertyValueDeutsch,PropertyValueEnglisch,PropertyValueDeutschCH,PropertyValueFranzoesisch,PropertyValueNiederlaendisch,PropertyValueItalienisch,PropertyValueSpanisch
51,DruckmusterTyp,Druckmustertyp,Sample type,Druckmustertyp,Type d'échantillon,Drukmonstertype,Tipo di campionario,Tipo de muestrario,1317,Mustersets Pappbecher (BRANDED),Musterset Pappbecher,Paper Cup Sample Set,Musterset Pappbecher,Kit d'échantillons de gobelets et pots en carton,Monsterset met kartonnen bekers,Campionario dei bicchieri di carta,Muestrario de vasos de cartón
51,DruckmusterTyp,Druckmustertyp,Sample type,Druckmustertyp,Type d'échantillon,Drukmonstertype,Tipo di campionario,Tipo de muestrario,1318,Mustersets Notizbücher (BRANDED),Musterset Notizbücher,Notebook Sample Set,Musterset Notizbücher,Kit d'échantillons de carnets de notes,Monsterset notitieboekjes,Campionario taccuini,Muestrario de cuadernos de notas
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,1319,100 x 100 x 34 cm,100 x 100 x 34 cm,100 x 100 x 34 cm,100 x 100 x 34 cm,100 x 100 x 34 cm,100 x 100 x 34 cm,100 x 100 x 34 cm,100 x 100 x 34 cm
121,Versand-Sonderkonditionen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1153,Samstagszustellung kostenfrei,Samstagszustellung kostenfrei,Saturday delivery free of charge,Samstagszustellung kostenfrei,Livraison le samedi exempte de frais,Bezorging op zaterdag gratis,Consegna di sabato gratuita,Entrega en sábado gratuita
121,Versand-Sonderkonditionen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1154,Selbstabholung kostenfrei,Selbstabholung kostenfrei,Collection by the customer free of charge,Selbstabholung kostenfrei,Réception en personne gratuite,Zelfafhaling gratis,Ritiro merce gratuito,Recolección personal de bienes gratuita
121,Versand-Sonderkonditionen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1155,Direktfahrt kostenfrei,Direktfahrt kostenfrei,Direct transit free of cost,Direktfahrt kostenfrei,Course directe gratuite,Directe Tour gratis,Consegna diretta gratuita,Entrega directa gratuita
121,Versand-Sonderkonditionen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1156,Pallettenpflicht,Palettenpflicht,Mandatory pallet delivery,Palettenpflicht,Palette obligatoire,Palet verplicht,Spedizione bancale obbligatoria,Envío obligatorio en palets
121,Versand-Sonderkonditionen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1157,Pallettenpflicht kostenfrei,Palettenpflicht kostenfrei,Mandatory pallet delivery free of charge,Palettenpflicht kostenfrei,Palette obligatoire gratuite,Verplichte palet gratis,Spedizione su bancale gratuita,Envío en palets gratuito
121,Versand-Sonderkonditionen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1158,Expressversand kostenfrei,Expressversand kostenfrei,Express delivery,Expressversand kostenfrei,Envoi en express gratuit,Express bezorging gratis,Spedizione express gratuita,Envío exprés gratuito
28,Lieferaufteilung,Lieferungsaufteilung,Delivery splitting,Lieferungsaufteilung,Répartition de la livraison,Gesplitste levering,Ripartizione della consegna,Distribución del envío,1069,Mehr als 20 Aufteilungen (nur dev konso),Mehr als 20 Lieferadressen,More than 20 delivery addresses,Mehr als 20 Lieferadressen,Plus de 20 adresses de livraison,Meer dan 20 leveradressen,oltre 20 indirizzi di consegna,Más de 20 direcciones de envío
115,Ausführung Verpackungen,Basisverpackung,Standard Model,Basisverpackung,Emballage de base,Standaard verpakking,Modello di base,Modelo base,1323,FEFCO 0429 - Versandkarton mit Haftfix und Aufreißfaden,FEFCO 0429 - Versandkarton mit Haftfix und Aufreißfaden ,FEFCO 0429 - Mailer Box ,FEFCO 0429   Versandkarton mit Haftfix und Aufreissfaden ,FEFCO 0429 - Boîte d'expédition avec fermeture adhésive et bande d'arrachage ,FEFCO 0429 - Verzenddoos met Plak- en Scheurstrip ,FEFCO 0429 - Scatola per spedizioni con strisce adhesive e linguette a strappo ,FEFCO 0429 - Caja de envío tira adhesiva abrefácil 
45,Verarbeitungsart,Verarbeitungsart,Type of processing,Verarbeitungsart,Traitement,Afwerking,Tipo di lavorazione,Tipo de elaboración,1324,"Stanzen, Haftfix + Aufreißfaden","Stanzen, Haftfix, Aufreißfaden","die cut, strip and tear thread","Stanzen, Haftfix, Aufreißfaden","découpe, fermeture adhésive et bande d'arrachage","stansen, plak- en scheurstrip ","fustellatura, strisce adesive e linguette a strappo","troquelado, tira adhesiva abrefácil"
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,1325,Durchschreibesätze einzeln geleimt,Durchschreibesätze einzeln geleimt,NCR Sets (glued),Durchschreibesätze einzeln geleimt,Liasses autocopiantes individuelles,Doorschrijfsets enkel gelijmd,Fascicoli autocopiativi singoli,Juegos individuales de papel de calco (encolados)
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,1326,Durchschreibesätze mit perforierter Trennleiste,Durchschreibesätze m. perf. Trennleiste,NCR Sets in a pad with glue binding,Durchschreibesätze m. perf. Trennleiste,Liasse autocopiante à souche détachable,Doorschrijfsets in een blok gelijmd,Fascicoli di carta copiativa perforata,Talonario autocopiativo línea perforada
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,1327,Durchschreibesätze als Block geleimt,Durchschreibesätze als Block geleimt,NCR Sets in a pad with glue binding,Durchschreibesätze als Block geleimt,Carnets autocopiants,Doorschrijfsets in een blok gelijmd,Blocchi di carta copiativa incollata,Talonarios autocopiativos encolados
