PropertyId,PropertyDesc,PropertyDeutsch,PropertyEnglisch,PropertyDeutschCH,PropertyFranzoesisch,PropertyNiederlaendisch,PropertyItalienisch,PropertySpanisch,PropertyValueId,PropertyValueDesc,PropertyValueDeutsch,PropertyValueEnglisch,PropertyValueDeutschCH,PropertyValueFranzoesisch,PropertyValueNiederlaendisch,PropertyValueItalienisch,PropertyValueSpanisch
121,Versand-Sonderkonditionen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1512,Abholung Laser-Line,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,Versand-Sonderkonditionen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1513,Kurier Laser-Line,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,Versand-Sonderkonditionen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1514,Zustellung bis 10 Uhr,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,Versand-Sonderkonditionen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1515,Zustellung bis 12 Uhr,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,Versand-Sonderkonditionen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1561,Teilversand,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,Veredelungsseite,Veredelungsseite,Side for finishing,Veredelungsseite,Finition côté,Afwerking zijde,Pagina rifinita,Página de ennoblecimiento,10,Außenseite,Außenseite,outside,Aussenseite,Page extérieure,Buitenkant,lato esterno,exterior
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,11,85x55mm,85 x 55 mm,85 x 55 mm,85 x 55 mm,85 x 55 mm,85 x 55 mm,85 x 55 mm,85 x 55 mm
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,12,Hardcover,Bücher mit Hardcover in Großauflage,Books with hardcover (large print runs),Bücher mit Hardcover,Livres à couverture rigide offset,Boeken met hardcover offset druk,Libri con copertina rigida,Libros con tapa dura
45,Verarbeitungsart,Verarbeitungsart,Type of processing,Verarbeitungsart,Traitement,Afwerking,Tipo di lavorazione,Tipo de elaboración,31,einzeln eingeschweißt,einzeln eingeschweißt,individually shrink wrapped,einzeln eingeschweisst,mise sous film individuelle,Per stuk verpakt in krimpfolie,cellofanatura singola,retractilado individual
77,Einband Umschlag,Einband/Umschlag,Covering/Cover,Einband/Umschlag,Couverture/plat,Cover/omslag,Piatto/copertina,Tapa (encuadernada),38,2mm Buchbindekarton,2 mm Buchbindekarton,2 mm cardboard,2 mm Buchbindekarton,carton de couverture (2 mm),2 mm grijsbord karton,cartoncino 2 mm,Cartón de cubierta (2 mm)
78,Buch Rücken,Buchrücken,Book spine,Buchrücken,Dos du livre,Rug,Dorso,Lomo,40,Gerade,Gerade,straight,Gerade,dos plat,recht,piatto,recto
78,Buch Rücken,Buchrücken,Book spine,Buchrücken,Dos du livre,Rug,Dorso,Lomo,58,Rund,Rund,round,Rund,dos arrondi,Rond,arrotondato,redondeado
79,Vor und Nachsatzpapier,Vor- und Nachsatzpapier,End paper,Vor- und Nachsatzpapier,Garde,Schutbladen,Guardia/controguardia,Guarda,59,ohne,ohne,without,ohne,sans garde,zonder,senza,sin
124,Versandkonfektionierung,Versandkonfektionierung,NULL,NULL,NULL,Verpakking,NULL,NULL,1200,ohne,ohne,without,ohne,sans garde,zonder,senza,sin
79,Vor und Nachsatzpapier,Vor- und Nachsatzpapier,End paper,Vor- und Nachsatzpapier,Garde,Schutbladen,Guardia/controguardia,Guarda,166,120 g/m² Offsetpapier weiß,120 g/m² Offsetpapier weiß,120gsm uncoated paper white,120 g/m² Offsetpapier weiss,120 g/m² papier offset blanc,120 g/m² offsetpapier wit,120 g/m² carta usomano bianca,120 g/m² papel offset blanco
79,Vor und Nachsatzpapier,Vor- und Nachsatzpapier,End paper,Vor- und Nachsatzpapier,Garde,Schutbladen,Guardia/controguardia,Guarda,167,120 g/m² Vorsatzpapier schwarz,120 g/m² Vorsatzpapier schwarz,"120gsm end paper, black",120 g/m² Vorsatzpapier schwarz,120 g/m² papier de garde noir,120 g/m² schutblad zwart,120 g/m² carta usomano nera,120 g/m² guarda (negro)
79,Vor und Nachsatzpapier,Vor- und Nachsatzpapier,End paper,Vor- und Nachsatzpapier,Garde,Schutbladen,Guardia/controguardia,Guarda,168,120 g/m² Vorsatzpapier gerippt hochweiß,120 g/m² Vorsatzpapier gerippt hochweiß,"120gsm end paper, ribbed surface, bright white",120 g/m² Vorsatzpapier gerippt hochweiss,120 g/m² papier de garde granuleux blanc,120 g/m² schutblad wit geribd,120 g/m²  carta usomano goffrata bianco superiore,120 g/m² guarda con perfil (blanco polar)
81,Kapitalband,Kapitalband,Head- / Tailband,Kapitalband,Tranchefile,Kapitaalband,Capitello,Cabezada,169,ohne,ohne,without,ohne,sans tranchefile,zonder,senza,sin cabezada
81,Kapitalband,Kapitalband,Head- / Tailband,Kapitalband,Tranchefile,Kapitaalband,Capitello,Cabezada,170,weiß,weiß,white,weiss,blanc,wit,Bianco,blanco
81,Kapitalband,Kapitalband,Head- / Tailband,Kapitalband,Tranchefile,Kapitaalband,Capitello,Cabezada,171,rot,rot,red,rot,rouge,rood,rosso,rojo
81,Kapitalband,Kapitalband,Head- / Tailband,Kapitalband,Tranchefile,Kapitaalband,Capitello,Cabezada,172,blau,blau,blue,blau,bleu,blauw,blu,azul
81,Kapitalband,Kapitalband,Head- / Tailband,Kapitalband,Tranchefile,Kapitaalband,Capitello,Cabezada,173,schwarz,schwarz,black,schwarz,noir,zwart,nero,negro
1,Produktionszeit,Fertigstellungszeitraum,Time for completion,Fertigstellungszeitraum,Délai de production,Productietijd,Tempi di realizzazione,Periodo de producción,318,Standard (18 Arbeitstage),Standard (18 Arbeitstage),standard (18 working days),Standard (18 Arbeitstage),standard (18 jours ouvrés),Standaard (18 werkdagen),Standard (18 giorni lavorativi),estándar (18 días laborables)
1,Produktionszeit,Fertigstellungszeitraum,Time for completion,Fertigstellungszeitraum,Délai de production,Productietijd,Tempi di realizzazione,Periodo de producción,319,Standard (19 Arbeitstage),Standard (19 Arbeitstage),standard (19 working days),Standard (19 Arbeitstage),standard (19 jours ouvrés),Standaard (19 werkdagen),Standard (19 giorni lavorativi),estándar (19 días laborables)
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,320,100 Blatt,100 Blatt,100 sheets,100 Blatt,100 feuilles,100 vellen,100 fogli,100 hojas
1,Produktionszeit,Fertigstellungszeitraum,Time for completion,Fertigstellungszeitraum,Délai de production,Productietijd,Tempi di realizzazione,Periodo de producción,419,Standard (17 Arbeitstage),Standard (17 Arbeitstage),standard (17 working days),Standard (17 Arbeitstage),standard (17 jours ouvrés),Standaard (17 werkdagen),Standard (17 giorni lavorativi),estándar (17 días laborables)
1,Produktionszeit,Fertigstellungszeitraum,Time for completion,Fertigstellungszeitraum,Délai de production,Productietijd,Tempi di realizzazione,Periodo de producción,420,Standard (20 Arbeitstage),Standard (20 Arbeitstage),standard (20 working days),Standard (20 Arbeitstage),standard (20 jours ouvrés),Standaard (20 werkdagen),Standard (20 giorni lavorativi),estándar (20 días laborables)
1,Produktionszeit,Fertigstellungszeitraum,Time for completion,Fertigstellungszeitraum,Délai de production,Productietijd,Tempi di realizzazione,Periodo de producción,421,Standard (13 Arbeitstage),Standard (13 Arbeitstage),standard (13 working days),Standard (13 Arbeitstage),standard (13 jours ouvrés),Standaard (13 werkdagen),Standard (13 giorni lavorativi),estándar (13 días laborables)
1,Produktionszeit,Fertigstellungszeitraum,Time for completion,Fertigstellungszeitraum,Délai de production,Productietijd,Tempi di realizzazione,Periodo de producción,422,Standard (16 Arbeitstage),Standard (16 Arbeitstage),standard (16 working days),Standard (16 Arbeitstage),standard (16 jours ouvrés),Standaard (16 werkdagen),Standard (16 giorni lavorativi),estándar (16 días laborables)
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,811,Haftnotizen im Softcover,Haftnotizen mit Softcover,Sticky notes with softcover,Haftnotizen mit Softcover,notes adhésives à couverture souple,Memoblokje met softcover,Foglietti adesivi con copertina morbida,notas adhesivas con tapa blanda
76,Fensterposition,Fenster,Window,Fenster,Fenêtre,Raam,Finestra,Ventana,818,ohne Fenster,ohne Fenster,without window,ohne Fenster,sans fenêtre,zonder venster,senza finestra,sin ventana
36,Papier Umschlag,Material,Material,Material,Matériau,Materiaal,Materiale,Material,824,250g/m² Chromosulfatkarton weiß,250 g/m² Chromosulfatkarton weiß,250gsm chromium sulphate card white,250 g/m² Chromosulfatkarton weiss,250 g/m² carton chromosulfate blanc,250 g/m² sulfaatkarton wit,250 g/m² cartone cromosolfato bianco,250 g/m² cartón cromosulfato blanco
45,Verarbeitungsart,Verarbeitungsart,Type of processing,Verarbeitungsart,Traitement,Afwerking,Tipo di lavorazione,Tipo de elaboración,874,Klebespur oben,Klebespur oben,glue strip on top,Klebespur oben,bande de collage en haut,Plakrand boven,striscia adesiva sul lato superiore,goma adhesiva superior
45,Verarbeitungsart,Verarbeitungsart,Type of processing,Verarbeitungsart,Traitement,Afwerking,Tipo di lavorazione,Tipo de elaboración,875,Klebespur links,Klebespur links,glue strip left,Klebespur links,bande de collage à gauche,Plakrand links,striscia adesiva sul lato sinistro,goma adhesiva izquierda
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,876,72x100mm,72 x 100 mm hoch,72 x 100 mm portrait,72 x 100 mm hoch,72 x 100 mm vertical,72 x 100 mm staand,72 x 100 mm verticale,72 x 100 mm vertical
83,B/H Format2,Format,Format,Format,Format,Formaat,Formato,Tamaño,381,72 x 100 mm hoch,72 x 100 mm hoch,72 x 100 mm portrait,72 x 100 mm hoch,72 x 100 mm vertical,72 x 100 mm staand,72 x 100 mm verticale,72 x 100 mm vertical
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,878,280 x 315 mm,280 x 315 mm,280 x 315 mm,280 x 315 mm,280 x 315 mm,280 x 315 mm,280 x 315 mm,280 x 315 mm
76,Fensterposition,Fenster,Window,Fenster,Fenêtre,Raam,Finestra,Ventana,879,Fenster Links,Fenster Links,window left,Fenster Links,fenêtre à gauche,Venster links,finestra a sinistra,ventana a la izquierda
76,Fensterposition,Fenster,Window,Fenster,Fenêtre,Raam,Finestra,Ventana,880,Fenster Rechts,Fenster Rechts,window right,Fenster Rechts,fenêtre à droite,Venster rechts,finestra a destra,ventana a la derecha
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,881,DIN C-Lang (220 x 110 mm) Querformat,DIN lang (220 x 110 mm) quer,DL (220 x 110 mm) landscape,DIN lang (220 x 110 mm) quer,format long (220 x 110 mm) horizontal,DIN long (220 x 110 mm) liggend,DIN lungo (220 x 110 mm) orizzontale,220 x 110 mm horizontal
8,Papier / Material,Material,Material,Material,Matériau,Materiaal,Materiale,Material,882,70g/m² Offsetpapier weiß,70 g/m² Offsetpapier weiß,70gsm uncoated paper white,70 g/m² Offsetpapier weiss,70 g/m² papier offset blanc,70 g/m² offsetpapier wit,70 g/m² carta usomano bianca,70 g/m² papel offset blanco
85,Papier2,Material,Material,Material,Matériau,Materiaal,Carta,Material,383,70g/m² Offsetpapier weiß,70 g/m² Offsetpapier weiß,70gsm uncoated paper white,70 g/m² Offsetpapier weiss,70 g/m² papier offset blanc,70 g/m² offsetpapier wit,70 g/m² carta usomano bianca,70 g/m² papel offset blanco
90,Papier1,Material,Material,Material,Matériau,Materiaal,Carta,Material,390,70g/m² Offsetpapier weiß,70 g/m² Offsetpapier weiß,70gsm uncoated paper white,70 g/m² Offsetpapier weiss,70 g/m² papier offset blanc,70 g/m² offsetpapier wit,70 g/m² carta usomano bianca,70 g/m² papel offset blanco
45,Verarbeitungsart,Verarbeitungsart,Type of processing,Verarbeitungsart,Traitement,Afwerking,Tipo di lavorazione,Tipo de elaboración,883,Kopföffnung mit Klebespur oben,Kopföffnung mit Klebespur oben,"opening on top, glue strip on top",Kopföffnung mit Klebespur oben,"ouverture vers le haut, bande de collage en haut","Naar boven openen, plakrand boven","apertura in testa, striscia adesiva sul lato superiore",apertura superior con goma adhesiva superior
45,Verarbeitungsart,Verarbeitungsart,Type of processing,Verarbeitungsart,Traitement,Afwerking,Tipo di lavorazione,Tipo de elaboración,884,Kopföffnung mit Klebespur links,Kopföffnung mit Klebespur links,"opening on top, glue strip left",Kopföffnung mit Klebespur links,"ouverture vers le haut, bande de collage à gauche","Naar boven openen, plakrand links","apertura in testa, striscia adesiva sul lato sinistro",apertura superior con goma adhesiva izquiera
45,Verarbeitungsart,Verarbeitungsart,Type of processing,Verarbeitungsart,Traitement,Afwerking,Tipo di lavorazione,Tipo de elaboración,885,Buchöffnung mit Klebespur oben,Buchöffnung mit Klebespur oben,"book opening, glue strip on top",Buchöffnung mit Klebespur oben,"ouverture sur le côté, bande de collage en haut","Naar links openen, plakrand boven","apertura a libro, striscia adesiva sul lato superiore",tapa hacia la izquiera y encolado hacia arriba
45,Verarbeitungsart,Verarbeitungsart,Type of processing,Verarbeitungsart,Traitement,Afwerking,Tipo di lavorazione,Tipo de elaboración,886,Buchöffnung mit Klebespur links,Buchöffnung mit Klebespur links,"book opening, glue strip left",Buchöffnung mit Klebespur links,"ouverture sur le côté, bande de collage à gauche","Naar links openen, plakrand links","apertura a libro, striscia adesiva sul lato sinistro",tapa y encolado hacia la izquiera
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,887,90x90mm,90 x 90 mm,90 x 90 mm,90 x 90 mm,90 x 90 mm,90 x 90 mm,90 x 90 mm,90 x 90 mm
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,890,DIN-A4,DIN A4 (297 x 210 mm),A4 (297 x 210 mm),DIN A4 (297 x 210 mm),A4 (297 x 210 mm),A4 (297 x 210 mm),DIN A4 (297 x 210 mm),A4 (297 x 210 mm)
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,891,DIN-A5,DIN A5 (210 x 148 mm),A5 (210 x 148 mm),DIN A5 (210 x 148 mm),A5 (210 x 148 mm),A5 (210 x 148 mm),DIN A5 (210 x 148 mm),A5 (210 x 148 mm)
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,898,DIN-A6,DIN A6 (148 x 105 mm),A6 (148 x 105 mm),DIN A6 (148 x 105 mm),A6 (148 x 105 mm),A6 (148 x 105 mm),DIN A6 (148 x 105 mm),A6 (148 x 105 mm)
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,936,DIN-A7,DIN A7 (105 x 74 mm),A7 (105 x 74 mm),DIN A7 (105 x 74 mm),A7 (105 x 74 mm),A7 (105 x 74 mm),DIN A7 (105 x 74 mm),A7 (105 x 74 mm)
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,944,DIN-A8,DIN A8 (74 x 52 mm),A8 (74 x 52 mm),DIN A8 (74 x 52 mm),A8 (74 x 52 mm),A8 (74 x 52 mm),DIN A8 (74 x 52 mm),A8 (74 x 52 mm)
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,945,DIN-Lang,DIN lang (210 x 105 mm),DL (210 x 105 mm),DIN lang (210 x 105 mm),format long (210 x 105 mm),US large (210 x 105 mm),DIN lungo (210 x 105 mm),DL (210 x 105 mm)
8,Papier / Material,Material,Material,Material,Matériau,Materiaal,Materiale,Material,946,90 µm PVC-Folie transparent,90 µm Outdoor-PVC-Folie transparent,90 µm outdoor vinyl transparent,90 µm Outdoor-PVC-Folie transparent,"90 µm PVC spécial extérieur, transparent",90 µm outdoor PVC folie transparant,90 µm  PVC outdoor trasparente,"90 µm lámina PVC para exteriores, transparente"
8,Papier / Material,Material,Material,Material,Matériau,Materiaal,Materiale,Material,955,70 g/m² Haftpapier,70 g/m² Indoor-Haftpapier (beschreibbar),70gsm indoor adhesive labels (writable),70 g/m² Indoor-Haftpapier (beschreibbar),70 g/m² papier adhésif spécial intérieur (inscriptible),70 g/m² indoor papier zelfklevend (beschrijfbaar),70 g/m² carta indoor adesiva (scrivibile),70 g/m² papel adhesivo para interiores
1,Produktionszeit,Fertigstellungszeitraum,Time for completion,Fertigstellungszeitraum,Délai de production,Productietijd,Tempi di realizzazione,Periodo de producción,979,Standard (11 Arbeitstage),Standard (11 Arbeitstage),standard (11 working days),Standard (11 Arbeitstage),standard (11 jours ouvrés),Standaard (11 werkdagen),Standard (11 giorni lavorativi),estándar (11 días laborables)
1,Produktionszeit,Fertigstellungszeitraum,Time for completion,Fertigstellungszeitraum,Délai de production,Productietijd,Tempi di realizzazione,Periodo de producción,980,Standard (9 Arbeitstage),Standard (9 Arbeitstage),standard (9 working days),Standard (9 Arbeitstage),standard (9 jours ouvrés),Standaard (9 werkdagen),Standard (9 giorni lavorativi),estándar (9 días laborables)
51,DruckmusterTyp,Druckmustertyp,Sample type,Druckmustertyp,Type d'échantillon,Drukmonstertype,Tipo di campionario,Tipo de muestrario,177,"SampleBox (24,95 €)",Sample Box,Sample Box,Sample Box,Boîte à échantillons,Sample Box,Box campionario,Caja de muestras
51,DruckmusterTyp,Druckmustertyp,Sample type,Druckmustertyp,Type d'échantillon,Drukmonstertype,Tipo di campionario,Tipo de muestrario,176,Produktkatalog (kostenfrei),Produktkatalog,Product catalogue,Produktkatalog,Catalogue produits,Productcatalogus,Catalogo prodotti,Catálogo de productos
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,1,Flyer,Flyer,Flyers,Flyer,flyers,Flyers,volantini,flyers
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,2,Folder,Folder,Folded leaflets,Folder,dépliants,Folder,Pieghevoli,Folletos
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,305,Brosch. mit Umschlag,Broschüre mit Umschlag,Brochures with cover,Broschüre mit Umschlag,brochure avec couverture,Brochure met omslag,Rivista con Copertina,revistas con cubierta
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,306,Brosch. ohne Umschlag,Broschüre ohne Umschlag,Brochures without cover,Broschüre ohne Umschlag,brochure sans couverture,Brochure zonder omslag,autocopertinata,revistas sin cubierta
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,4,Plakate,Plakate (ab 100 Stück),Ad posters (from 100 units),Plakate (ab 100 Stück),Affiches (dès 100 ex.),Reclameposters (vanaf 100 stuks),Manifesti (a partire da 100 copie),Carteles (desde 100 ejemplares)
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,5,Postkarten,Postkarten,Postcards,Postkarten,cartes postales,Ansichtkaarten,Cartoline Postali,tarjetas postales
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,6,Visitenkarten,Visitenkarten,Business cards,Visitenkarten,cartes de visite,Visitekaartjes,Biglietti da Visita,tarjetas de visita
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,7,Briefpapier,Briefpapier,Letterheads,Briefpapier,papier à lettres,Briefpapier,Carta Intestata,papel de carta
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,13,DVD-Cover,DVD-Cover,DVD cover,DVD-Cover,jaquettes de DVD,DVD cover,Copertine DVD,carátulas DVD
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,14,Wandkalender (Digital),Wandkalender (1-99 Stück),Wall calendars (1-99 units),Wandkalender (1-99 Stück),calendriers muraux (1-99 ex.),Muurkalenders (1-99 stuks),Calendari da parete (1 - 99 copie),calendarios de pared (de 1 a 99 ejemplares)
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,309,"Brosch., Faltumschlag vorn","Broschüre, Faltumschlag vorn","Brochures, folded cover front","Broschüre, Faltumschlag vorn","brochure, couverture à rabat avant","Brochure, gevouwen omslag voorkant","Rivista, Copertina Pieghevole Fronte",revistas con cubierta plegada delante
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,17,CD-Cover,CD-Cover,CD cover,CD-Cover,jaquettes de CD,CD cover,Copertine CD,carátulas CD
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,16,CD/DVD-Booklet klappbar,Booklet klappbar,Booklet foldable,Booklet klappbar,livret pliable,Vouwbaar boekje,Libretto Pieghevole,libretos plegable
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,300,CD/DVD-Booklet ohne Umschlag,Booklet ohne Umschlag,Booklet without cover,Booklet ohne Umschlag,livret sans couverture,Boekje zonder cover,Libretto senza Copertina,libretos sin cubierta
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,301,CD/DVD-Booklet mit Umschlag,Booklet mit Umschlag,Booklet with cover,Booklet mit Umschlag,livret avec couverture,Boekje met cover,Libretto con Copertina,libretos con cubierta
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,303,"CD/DVD-Booklet, Faltumschlag vorn","Booklet, Faltumschlag vorn","Booklet, folded cover front","Booklet, Faltumschlag vorn","livret, couverture à rabat avant","Boekje, gevouwen omslag voorkant","Libretto, Copertina Pieghevole Fronte",libretos con cubierta plegada delante
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,20,Terminkarten,Terminkarten,Appointment cards,Terminkarten,cartes de rendez-vous,Afsprakenkaarten,Planner Tascabili,tarjetas de citas
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,19,Taschenkalender,Taschenkalender,Pocket calendar,Taschenkalender,calendriers de poche,Pocketkalender,Calendari Tascabili,calendarios de bolsillo
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,21,Bonuskarten,Bonuskarten,bonus cards,Bonuskarten,cartes de fidélité,Klantenkaarten,Carte Raccolta Punti,tarjetas de puntos
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,22,Grußkarten,Grußkarten,Greeting cards,Grusskarten,cartes de vœux,Wenskaarten,Cartoline d'Auguri,tarjetas de felicitación
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,23,Poster,Poster,Posters,Poster,posters,Poster,Poster,posters
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,18,Tischkalender (Digital),Tischkalender (1-99 Stück),Desk calendars (1-99 units),Tischkalender (1-99 Stück),calendriers de bureau (1-99 ex.),Bureaukalenders (1-99 stuks),Calendari da tavolo (1 - 99 copie),calendarios de mesa (de 1 a 99 ejemplares)
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,308,"Brosch., Faltumschlag hinten","Broschüre, Faltumschlag hinten","Brochures, folded cover rear","Broschüre, Faltumschlag hinten","brochure, couverture à rabat arrière","Brochure, gevouwen omslag achterkant","Rivista, Copertina Pieghevole Retro",revistas con cubierta plegada detrás
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,302,"CD/DVD-Booklet, Faltumschlag hinten","Booklet, Faltumschlag hinten","Booklet, folded cover rear","Booklet, Faltumschlag hinten","livret, couverture à rabat arrière","Boekje, gevouwen omslag achterkant","Libretto, Copertina Pieghevole Retro",libretos con cubierta plegada detrás
7,Farbigkeit,Farbigkeit,Colour mode,Farbigkeit,Colorimétrie,Bedrukking (kleur),Profilo colore,Color,68,1/0-farbig (HKS),1/0-farbig (HKS),1/0-coloured (HKS),1/0-farbig (HKS),monochromie 1/0 (HKS),1/0 (enkelzijdig HKS),1/0 colore (HKS),1/0 color (HKS)
7,Farbigkeit,Farbigkeit,Colour mode,Farbigkeit,Colorimétrie,Bedrukking (kleur),Profilo colore,Color,69,1/0-farbig (schwarz),1/0-farbig (schwarz),1/0-coloured (black),1/0-farbig (schwarz),monochromie 1/0 (noir),1/0 (enkelzijdig zwart),1/0 colore (nero),1/0 color (negro)
37,Farbigkeit Umschlag,Farbigkeit,Colour mode,Farbigkeit,Colorimétrie,Bedrukking (kleur),Profilo colore,Color,30,1/0-farbig (schwarz),1/0-farbig (schwarz),1/0-coloured (black),1/0-farbig (schwarz),monochromie 1/0 (noir),1/0 (enkelzijdig zwart),1/0 colore (nero),1/0 color (negro)
7,Farbigkeit,Farbigkeit,Colour mode,Farbigkeit,Colorimétrie,Bedrukking (kleur),Profilo colore,Color,70,1/1-farbig (HKS),1/1-farbig (HKS),1/1-coloured (HKS),1/1-farbig (HKS),monochromie 1/1 (HKS),1/1 (dubbelzijdig HKS),1/1 colore (HKS),1/1 color (HKS)
37,Farbigkeit Umschlag,Farbigkeit,Colour mode,Farbigkeit,Colorimétrie,Bedrukking (kleur),Profilo colore,Color,293,1/1-farbig (HKS),1/1-farbig (HKS),1/1-coloured (HKS),1/1-farbig (HKS),monochromie 1/1 (HKS),1/1 (dubbelzijdig HKS),1/1 colore (HKS),1/1 color (HKS)
37,Farbigkeit Umschlag,Farbigkeit,Colour mode,Farbigkeit,Colorimétrie,Bedrukking (kleur),Profilo colore,Color,267,1/1-farbig (schwarz),1/1-farbig (schwarz),1/1-coloured (black),1/1-farbig (schwarz),monochromie 1/1 (noir),1/1 (dubbelzijdig zwart),1/1 colore (nero),1/1 color (negro)
7,Farbigkeit,Farbigkeit,Colour mode,Farbigkeit,Colorimétrie,Bedrukking (kleur),Profilo colore,Color,71,1/1-farbig (schwarz),1/1-farbig (schwarz),1/1-coloured (black),1/1-farbig (schwarz),monochromie 1/1 (noir),1/1 (dubbelzijdig zwart),1/1 colore (nero),1/1 color (negro)
7,Farbigkeit,Farbigkeit,Colour mode,Farbigkeit,Colorimétrie,Bedrukking (kleur),Profilo colore,Color,73,2/0-farbig (schwarz + HKS),2/0-farbig (schwarz + HKS),2/0-coloured (black + HKS),2/0-farbig (schwarz + HKS),couleurs 2/0 (noir + HKS),2/0 (enkelzijdig zwart + HKS),2/0 colori (nero + HKS),2/0 colores (negro + HKS)
